route_id,departure_station_id,arrival_station_id,operator_id,distance_km
1,4152,4161,31,
2,4161,4152,31,
3,7140,6683,31,
4,6683,7140,31,
5,6683,7089,31,
6,6683,7232,31,
7,1372,328,31,
8,328,1372,31,
9,1372,6223,31,
10,6223,1372,31,
11,465,328,31,
12,465,6223,31,
13,328,465,31,
14,1193,328,31,
15,328,1193,31,
16,6223,1193,31,
17,718,328,31,
18,328,718,31,
19,8160,1372,31,
20,465,8160,31,
21,1372,8160,31,
22,1372,7984,31,
23,1372,8465,31,
24,7984,1372,31,
25,7984,1193,31,
26,8465,1372,31,
27,8465,1193,31,
28,1128,8465,31,
29,1193,8465,31,
30,4468,1372,31,
31,1372,4468,31,
32,2703,3297,31,
33,3297,2703,31,
34,3459,2703,31,
35,2703,3599,31,
36,3493,2703,31,
37,2703,3493,31,
38,4468,2703,31,
39,4468,2706,31,
40,2703,4468,31,
41,5101,2703,31,
42,2703,5101,31,
43,2703,6083,31,
44,6083,2703,31,
45,2703,4294,31,
46,2703,3459,31,
47,8465,6223,31,
48,6223,8723,31,
49,6223,8465,31,
50,8723,6223,31,
51,6236,6223,31,
52,6223,6236,31,
53,7139,8465,31,
54,6236,7139,31,
55,8465,7139,31,
56,7984,6223,31,
57,6223,7984,31,
58,6223,6682,31,
59,3297,7984,31,
60,7984,7139,31,
61,3647,2703,31,
62,2703,3647,31,
63,3647,2706,31,
64,1715,3297,31,
65,1707,7984,31,
66,1707,7139,31,
67,1707,6236,31,
68,1707,8465,31,
69,1707,1710,31,
70,7984,1715,31,
71,7984,1707,31,
72,4468,1715,31,
73,8465,1707,31,
74,6236,1707,31,
75,7139,1707,31,
76,3038,2679,31,
77,3111,3038,31,
78,2679,3038,31,
79,3038,3119,31,
80,3045,2679,31,
81,3038,3111,31,
82,3119,3038,31,
83,2679,3045,31,
84,2679,3111,31,
85,6007,5098,31,
86,5098,6007,31,
87,6081,5098,31,
88,5098,5934,31,
89,5934,5098,31,
90,5098,6081,31,
91,8620,7416,31,
92,8566,7416,31,
93,5730,7416,31,
94,7416,8620,31,
95,7416,8566,31,
96,7416,5730,31,
97,2321,1711,31,
98,2321,2248,31,
99,2348,1760,31,
100,2348,1711,31,
101,1711,2321,31,
102,1760,2321,31,
103,1711,2248,31,
104,2248,2321,31,
105,1711,2348,31,
106,2248,1711,31,
107,1879,1711,31,
108,1879,1760,31,
109,1711,1879,31,
110,1760,1879,31,
111,2638,1711,31,
112,1711,2001,31,
113,1975,1711,31,
114,1711,2028,31,
115,1975,1789,31,
116,1789,2001,31,
117,1711,1975,31,
118,2001,1711,31,
119,2028,1789,31,
120,1711,1789,31,
121,1711,2638,31,
122,2028,1711,31,
123,1789,1975,31,
124,1760,2028,31,
125,1975,2028,31,
126,1789,1711,31,
127,1975,1760,31,
128,2723,3244,31,
129,3244,3206,31,
130,3206,2707,31,
131,3206,2704,31,
132,2704,3206,31,
133,3163,2805,31,
134,3163,4154,31,
135,3163,3219,31,
136,4154,3163,31,
137,3219,3163,31,
138,2805,3163,31,
139,4154,7140,31,
140,4154,7089,31,
141,7140,4154,31,
142,7089,4154,31,
143,8776,5196,31,
144,8776,8808,31,
145,8776,8824,31,
146,8341,8306,31,
147,8341,8370,31,
148,8306,8370,31,
149,8370,8306,31,
150,8370,8321,31,
151,8274,8370,31,
152,8370,8274,31,
153,8370,8341,31,
154,8274,8341,31,
155,8321,8341,31,
156,8321,8370,31,
157,8306,8341,31,
158,7985,8370,31,
159,7985,8341,31,
160,8341,7985,31,
161,8355,7985,31,
162,8370,7985,31,
163,7886,8274,31,
164,7559,8274,31,
165,7785,8274,31,
166,7785,7559,31,
167,7572,7559,31,
168,7785,7886,31,
169,7785,8399,31,
170,7886,7785,31,
171,7559,7785,31,
172,8274,7785,31,
173,8274,7886,31,
174,8274,7559,31,
175,7886,7559,31,
176,7886,7165,31,
177,7886,7140,31,
178,7165,7886,31,
179,7140,7886,31,
180,7140,7165,31,
181,7985,7140,31,
182,7985,6969,31,
183,7140,7985,31,
184,6683,6231,31,
185,6683,6224,31,
186,7232,6231,31,
187,7089,6224,31,
188,7140,6224,31,
189,7232,6224,31,
190,7089,6231,31,
191,7232,6166,31,
192,7089,6683,31,
193,7232,6683,31,
194,7140,6231,31,
195,7140,6166,31,
196,6231,7140,31,
197,6224,7140,31,
198,6166,7140,31,
199,6231,7089,31,
200,6231,6683,31,
201,6224,6683,31,
202,6224,7089,31,
203,6231,7232,31,
204,6166,6683,31,
205,7785,7140,31,
206,7572,7140,31,
207,7140,7572,31,
208,7140,7785,31,
209,7140,7559,31,
210,6945,249,31,
211,6945,244,31,
212,249,6872,31,
213,244,6872,31,
214,6872,249,31,
215,6872,244,31,
216,249,6957,31,
217,244,6957,31,
218,6957,249,31,
219,6957,244,31,
220,244,6945,31,
221,242,6795,31,
222,253,6795,31,
223,6795,242,31,
224,6795,253,31,
225,6788,6795,31,
226,6788,217,31,
227,6795,217,31,
228,217,6795,31,
229,6795,6788,31,
230,217,6788,31,
231,255,7764,31,
232,7559,7140,31,
233,7737,7852,31,
234,7737,7871,31,
235,7852,7737,31,
236,7871,7737,31,
237,7871,7852,31,
238,7852,7871,31,
239,221,7871,35,
